http://carebridgehealth.com/team2023,html
http://carebridgehealth.com/team2023,This is Squarespace.
http://carebridgehealth.com/team2023,minnow-khaki-hzyd
http://carebridgehealth.com/team2023,Team — CareBridge
http://carebridgehealth.com/team2023,End of Squarespace Headers
http://carebridgehealth.com/team2023,0
http://carebridgehealth.com/team2023,Team
http://carebridgehealth.com/team2023,Brad Smith
http://carebridgehealth.com/team2023,Executive Chairman
http://carebridgehealth.com/team2023,Brad is the Executive Chairman of CareBridge Health and the Founder and Chief Executive Officer of Russell Street Ventures. Brad served as Co-Founder and CEO of Aspire Health and the Director of the Center for Medicare and Medicaid Innovation (CMMI).
http://carebridgehealth.com/team2023,Mike Tudeen
http://carebridgehealth.com/team2023,Vice Chairman
http://carebridgehealth.com/team2023,"Mikes past leadership roles include serving as President and Chief Executive Officer at PopHealthCare, Optums EverCare, and INSPIRIS. These companies all deliver technology-enabled, cutting edge medical solutions, provided in home-based settings, contracting on full risk or value-based structures. Mike also serves on several healthcare company boards."
http://carebridgehealth.com/team2023,Puneet Singh
http://carebridgehealth.com/team2023,Chief Executive Officer
http://carebridgehealth.com/team2023,"Puneets prior leadership roles include serving as CEO of Quartet Health, Chief Growth Officer of Elevances Diversified Business Group (Carelon), and Chief Development Officer at Aspire Health.  In each of these roles, Puneet partnered with payers and providers to help scale innovative, value-based care models to improve the healthcare of underserved communities."
http://carebridgehealth.com/team2023,Dr. Melinda Henderson
http://carebridgehealth.com/team2023,Chief Medical Officer
http://carebridgehealth.com/team2023,"Dr. Henderson most recently served as the Chief Medical Officer of PopHealthCare and previously served as the Lead Medical Director for Uniteds LTSS program in Tennessee as well as on Uniteds national LTSS clinical team. She is board-certified in internal medicine, geriatrics, and palliative medicine as well as a certified Medical Director with the Society for Post-Acute and Long-Term Care Medicine. She also serves as a Lieutenant Colonel in the US Army Reserve."
http://carebridgehealth.com/team2023,Patti Killingsworth
http://carebridgehealth.com/team2023,Chief Strategy Officer
http://carebridgehealth.com/team2023,"Patti has nearly 25 years of Medicaid LTSS experience, most recently as the longstanding Assistant Commissioner and Chief of LTSS for TennCare, the Medicaid Agency in Tennessee. She is a lifelong family caregiver and a nationally recognized leader in HCBS policy and programs. She has managed LTSS, value-based purchasing, and initiatives to improve care for beneficiaries dually eligible for Medicare and Medicaid."
http://carebridgehealth.com/team2023,Derek Lindblom
http://carebridgehealth.com/team2023,Chief Operating Officer
http://carebridgehealth.com/team2023,"Derek most recently led COVID-19 testing and mass and mobile vaccination efforts across the State of Illinois. Prior to that, he was a leader at Livongo (LVGO) and led teams with global consulting firm Bain & Co. and 7wireVentures VC Fund. He was also a policy advisor in the U.S. Senate and the City of Chicago Mayors Office."
http://carebridgehealth.com/team2023,Brandon Kerns
http://carebridgehealth.com/team2023,Chief Financial Officer
http://carebridgehealth.com/team2023,"Brandon was most recently the Chief Financial Officer of Landmark Health, a national, risk-bearing house call provider serving chronically ill patients. Prior to Landmark, he was Vice President at General Atlantic, a global growth equity firm, where he focused on healthcare services and IT investing."
http://carebridgehealth.com/team2023,Lynne Schaffler
http://carebridgehealth.com/team2023,"President, Clinical Operations"
