"annotation_id","annotator","created_at","homepage","id","lead_time","sentiment","text","updated_at","url"
151,"1","2024-03-27T17:10:55.741730Z","location: homepage",373,7.725,"Neither","Referrals","2024-03-27T17:10:55.741768Z","https://flexcareinfusion.com/referrals/"
299,"1","2024-04-01T03:48:10.836814Z","location: homepage",374,2.442,"Neither","Appeals","2024-04-01T03:48:10.836852Z","https://liveshopper.com/appeals/"
174,"1","2024-03-29T07:23:20.842164Z","location: about/team",375,2.834,"Neither","Puneet Singh","2024-03-29T07:23:20.842197Z","http://carebridgehealth.com/team2023"
284,"1","2024-03-31T05:00:07.618089Z","location: about/team",376,1.65,"Title/role","Dr. Abhi Saxena","2024-03-31T05:00:07.618117Z","http://carebridgehealth.com/team2023"
271,"1","2024-03-31T02:44:09.540881Z","location: homepage",377,1.619,"Neither","Sign up as an advertiserGet qualified leads for your business","2024-03-31T02:44:09.540907Z","https://www.marketcall.com/auth/register/merchant"
176,"1","2024-03-29T07:23:31.642250Z","location: about/team",378,5.307,"Bio","Puneets prior leadership roles include serving as CEO of Quartet Health, Chief Growth Officer of Elevances Diversified Business Group (Carelon), and Chief Development Officer at Aspire Health.  In each of these roles, Puneet partnered with payers and providers to help scale innovative, value-based care models to improve the healthcare of underserved communities.","2024-03-29T07:23:31.642295Z","http://carebridgehealth.com/team2023"
175,"1","2024-03-29T07:23:25.438190Z","location: about/team",379,2.007,"Title/role","Vice President of Operations","2024-03-29T07:23:25.438239Z","https://flexcareinfusion.com/about-us/#team"
300,"1","2024-04-01T03:48:17.805165Z","location: homepage",380,5.217,"Neither","Why PrestoShopper?","2024-04-01T03:48:17.805188Z","https://liveshopper.com/presto-why-presto/"
177,"1","2024-03-29T07:23:37.732360Z","location: about/team",381,3.442,"Bio","Brandon was most recently the Chief Financial Officer of Landmark Health, a national, risk-bearing house call provider serving chronically ill patients. Prior to Landmark, he was Vice President at General Atlantic, a global growth equity firm, where he focused on healthcare services and IT investing.","2024-03-29T07:23:37.732398Z","http://carebridgehealth.com/team2023"
304,"1","2024-04-01T03:55:17.576626Z","location: about/team",382,4.127,"Title/role","Executive Vice President, Pharmacy","2024-04-01T03:55:17.576661Z","https://flexcareinfusion.com/about-us/#team"
178,"1","2024-03-29T07:23:44.512193Z","location: about/team",383,5.331,"Neither","Need style code for dipi-popup-wrapper to make 'Popup Position setting' working with 'Popup Width' setting","2024-03-29T07:23:44.512237Z","https://flexcareinfusion.com/about-us/#team"
230,"1","2024-03-29T07:42:44.074381Z","location: about/team",384,1.512,"Neither","Brandon Kerns","2024-03-29T07:42:44.074406Z","http://carebridgehealth.com/team2023"
179,"1","2024-03-29T07:23:48.583710Z","location: homepage",385,3.101,"Product/Feature","Products and Services","2024-03-29T07:23:48.583754Z","http://carebridgehealth.com/cbproductsandservices23"
180,"1","2024-03-29T07:23:52.909742Z","location: about/team",386,3.238,"Title/role","President, PA Market","2024-03-29T07:23:52.909780Z","http://carebridgehealth.com/team2023"
161,"1","2024-03-29T07:20:19.555148Z","location: homepage",387,1.987,"Neither","inc.com","2024-03-29T07:20:19.555184Z","https://www.inc.com/inc5000/2023/"
288,"1","2024-03-31T21:07:22.118318Z","location: homepage",388,2.404,"Product/Feature","Workforce Solutions","2024-03-31T21:07:22.118348Z","https://tryfacta.com"
305,"1","2024-04-01T03:55:23.108946Z","location: homepage",389,2.049,"Neither","Help center","2024-04-01T03:55:23.108970Z","https://www.marketcall.com/help"
287,"1","2024-03-31T21:07:15.915822Z","location: homepage",390,4.02,"Product/Feature","Tryfacta Healthcare","2024-03-31T21:07:15.915861Z","https://tryfacta.com"
301,"1","2024-04-01T03:52:53.685156Z","location: homepage",391,3.438,"Neither","Payroll","2024-04-01T03:52:53.685187Z","https://tryfacta.com/strategic-workforce-solutions/payroll"
173,"1","2024-03-29T07:23:10.540913Z","location: about/team",392,2.643,"Neither","Mike Tudeen","2024-03-29T07:23:10.540965Z","http://carebridgehealth.com/team2023"
236,"1","2024-03-30T19:08:08.144660Z","location: about/team",393,1.815,"Title/role","Chief Operating Officer","2024-03-30T19:08:08.144685Z","http://carebridgehealth.com/team2023"
289,"1","2024-03-31T21:07:29.272518Z","location: homepage",394,3.857,"Product/Feature","Overview","2024-03-31T21:07:29.272567Z","https://flexcareinfusion.com/providers/"
231,"1","2024-03-30T19:06:19.318948Z","location: about/team",395,3.399,"Bio","Mark Kharoufeh began his journey in healthcare almost 30 years ago as a pediatric oncology nurse at Los Angeles Children’s Hospital. His evolution in healthcare through various clinical, leadership, and executive roles and a passion for customer service led him down a successful path of business operations. In 2012, Mark was a finalist for AZ Business Magazine’s “Healthcare Professional of the Year” for his leadership in an all-inclusive care under one roof ambulatory healthcare service model. Mark obtained his MBA from Grand Canyon University in 2015 and completed the University of Arizona Eller Executive Leadership Program in 2019.","2024-03-30T19:06:19.318978Z","https://flexcareinfusion.com/about-us/#team"
232,"1","2024-03-30T19:06:27.331335Z","location: homepage",396,2.968,"Neither","Industries","2024-03-30T19:06:27.331374Z","https://www.marketcall.com/industries"
290,"1","2024-03-31T21:07:35.484021Z","location: homepage",397,2.403,"Product/Feature","Software & Platform","2024-03-31T21:07:35.484053Z","https://tryfacta.com/industry/software-platform"
270,"1","2024-03-31T02:44:03.051901Z","location: about/team",398,3.138,"Title/role","Regional President, West","2024-03-31T02:44:03.051932Z","http://carebridgehealth.com/team2023"
269,"1","2024-03-31T02:43:59.086368Z","location: about/team",399,6.161,"Neither","Need style code for dipi-popup-wrapper to make 'Popup Position setting' working with 'Popup Width' setting","2024-03-31T02:43:59.086392Z","https://flexcareinfusion.com/about-us/#team"
172,"1","2024-03-29T07:23:03.551409Z","location: homepage",400,1.848,"Neither","Stuffing","2024-03-29T07:23:03.551436Z","https://tryfacta.com"
268,"1","2024-03-31T02:43:55.158990Z","location: about/team",401,2.184,"Neither","Matthew Holden","2024-03-31T02:43:55.159021Z","https://flexcareinfusion.com/about-us/#team"
286,"1","2024-03-31T21:07:08.051416Z","location: homepage",402,3.826,"Neither","Executive Hiring","2024-03-31T21:07:08.051443Z","https://tryfacta.com/strategic-workforce-solutions/executive-hiring"
162,"1","2024-03-29T07:21:12.881201Z","location: homepage",403,1.802,"Neither","dwight","2024-03-29T07:21:12.881235Z","https://upwardhealth.com/author/gettingraphic/"
306,"1","2024-04-01T03:55:47.379235Z","location: about/team",404,20.934,"Title/role","Executive Chairman","2024-04-01T03:55:47.379283Z","http://carebridgehealth.com/team2023"
282,"1","2024-03-31T04:59:57.233139Z","location: homepage",405,3.428,"Neither","Chameleon Shop Views","2024-03-31T04:59:57.233163Z","https://liveshopper.com/chameleon/"
307,"1","2024-04-01T03:55:50.810150Z","location: homepage",406,1.746,"Neither","Support","2024-04-01T03:55:50.810177Z","https://www.marketcall.com/support"
163,"1","2024-03-29T07:21:22.377362Z","location: homepage",407,1.59,"Neither","Follow","2024-03-29T07:21:22.377394Z","https://www.facebook.com/FlexCareInfusion"
283,"1","2024-03-31T05:00:03.226283Z","location: about/team",408,4.863,"Title/role","National Medical Director - Clinical Operations","2024-03-31T05:00:03.226313Z","http://carebridgehealth.com/team2023"
308,"1","2024-04-01T03:55:58.168478Z","location: homepage",409,5.433,"Neither","For affiliatesEasily monetize your traffic","2024-04-01T03:55:58.168507Z","https://www.marketcall.com/affiliates"
309,"1","2024-04-01T03:56:02.672400Z","location: about/team",410,3.218,"Title/role","Dr. Rick Cohen","2024-04-01T03:56:02.672433Z","http://carebridgehealth.com/team2023"
310,"1","2024-04-01T03:56:07.239036Z","location: about/team",411,3.192,"Bio","After a successful launch to his career in Milwaukee, WI, Rick returned to Arizona to be closer to his extended family.  In Arizona, he oversaw all pharmaceutical operations of the hospital-based outpatient clinics at HonorHealth, where he met his future business partner, Mark Kharoufeh.  Rick and Mark co-founded InfuseAble Care in Scottsdale, AZ, in 2020.  When FlexCare acquired InfuseAble Care in 2021, Rick transitioned to EVP of Pharmacy, leading the supply chain and procurement initiatives across the enterprise.  With the recent acquisition of a specialty pharmacy, Rick extended his purview to include oversight of this valuable service line.","2024-04-01T03:56:07.239061Z","https://flexcareinfusion.com/about-us/#team"
153,"1","2024-03-29T07:19:25.451783Z","location: about/team",412,4.215,"Title/role","President, Clinical Operations","2024-03-29T07:19:25.451808Z","http://carebridgehealth.com/team2023"
224,"1","2024-03-29T07:42:19.706683Z","location: homepage",413,2.008,"Neither","Audits","2024-03-29T07:42:19.706719Z","https://liveshopper.com/audits/"
225,"1","2024-03-29T07:42:22.670261Z","location: about/team",414,1.879,"About","Team — CareBridge","2024-03-29T07:42:22.670296Z","http://carebridgehealth.com/team2023"
226,"1","2024-03-29T07:42:25.536983Z","location: about/team",415,1.82,"Bio","Austin graduated from the University of Oklahoma with a degree in mechanical engineering. His focus on electromechanical systems quickly led to a passion for automation and building software and data solutions. After gaining experience as a software and applications engineer, he started a software consulting company and has launched several enterprise web, desktop, and mobile applications.","2024-03-29T07:42:25.537063Z","https://flexcareinfusion.com/about-us/#team"
227,"1","2024-03-29T07:42:27.876247Z","location: homepage",416,1.376,"Neither","Locations","2024-03-29T07:42:27.876276Z","https://flexcareinfusion.com/locations/"
228,"1","2024-03-29T07:42:32.205931Z","location: homepage",417,3.405,"Neither","Blog","2024-03-29T07:42:32.205966Z","https://liveshopper.com/blog/"
311,"1","2024-04-01T03:56:12.570456Z","location: homepage",418,2.448,"Neither","In-Network Insurers","2024-04-01T03:56:12.570494Z","https://flexcareinfusion.com/in-network-insurers/"
229,"1","2024-03-29T07:42:37.492735Z","location: about/team",419,2.707,"Neither","Derek Lindblom","2024-03-29T07:42:37.492786Z","http://carebridgehealth.com/team2023"
154,"1","2024-03-29T07:19:30.513832Z","location: about/team",420,2.2,"Neither","×","2024-03-29T07:19:30.513877Z","https://flexcareinfusion.com/about-us/#team"
312,"1","2024-04-01T03:56:16.174106Z","location: about/team",421,1.711,"Title/role","Dr. Miranda Huffman","2024-04-01T03:56:16.174135Z","http://carebridgehealth.com/team2023"
313,"1","2024-04-01T03:56:23.577949Z","location: homepage",422,4.751,"About","Team","2024-04-01T03:56:23.577991Z","http://carebridgehealth.com/team2023"
314,"1","2024-04-01T03:56:50.974300Z","location: homepage",423,10.51,"Neither","Notice of Privacy Practices","2024-04-01T03:56:50.974337Z","http://carebridgehealth.com/cb-privacy-policy"
155,"1","2024-03-29T07:19:34.682279Z","location: homepage",424,2.419,"Neither","Link 2","2024-03-29T07:19:34.682308Z","https://tryfacta.com"
315,"1","2024-04-01T03:56:55.934647Z","location: homepage",425,3.253,"Product/Feature","Home Services","2024-04-01T03:56:55.934685Z","https://www.marketcall.com/industries#vertical-home-services"
